Gene Target,Interacting Gene,Tissue,Enrichr Library
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,ELF1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CREB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,POLR2AphosphoS2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,POLR2A,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,SMARCB1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,EP300,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,TBP,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,KDM5B,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTBP2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,MYC,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,BHLHE40,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,eGFP-HDAC8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,BACH1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,EZH2,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,PHF8,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,MXI1,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,FOS,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,CTCF,Unspecified,ENCODE_TF_ChIP-seq_2015
ADH1C,GATA1,Unspecified,ENCODE_TF_ChIP-seq_2015
